gene,source,drug
CD3G,TTD,TEPLIZUMAB
ITGB1,TdgClinicalTrial,FIRATEGRAST
ANXA1,TEND,RIMEXOLONE
RACGAP1,DTC,THUNBERGINOL B
APOE,NCI,
MT-ND2,ChemblInteractions,NV-128
SLCO2B1,GuideToPharmacology,ERLOTINIB
TUBB2A,DTC,VINORELBINE
FAAH,TTD,
CYP3A4,DTC,DISULFIRAM
CYP1A2,DTC,CHEMBL1337960
MITF,DTC,CHEMBL259784
HSP90AB1,DTC,ZERANOL
VCAM1,NCI,TROGLITAZONE
CYP2C19,DTC,CHEMBL587259
ADRA1B,ChemblInteractions,
RUNX1,DTC,FUMARPROTOCETRARIC ACID
NELFCD,PharmGKB,
HRH1,GuideToPharmacology,PYRILAMINE
ERBB2,ChemblInteractions,ERTUMAXOMAB
PIK3CG,NCI,
NR1I2,PharmGKB,DICLOXACILLIN
ALDH1A1,DTC,N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE
HSD17B10,DTC,TERAZOSIN HYDROCHLORIDE
KRAS,TTD,AZD-4785
KDM4C,DTC,PYROGALLOL RED
ATM,PharmGKB,METFORMIN
DKK1,CIViC,FLUOROURACIL
KIT,GuideToPharmacology,SORAFENIB
ADRA1A,ChemblInteractions,PHENYLEPHRINE BITARTRATE
FLT4,ClearityFoundationClinicalTrial,CEDIRANIB
SGK2,GuideToPharmacology,
ABL1,NCI,GENISTEIN
GLS,DTC,CEFATRIZINE
ABCC5,GuideToPharmacology,SILDENAFIL
CDKN1A,NCI,
CDK2,TTD,
ADRB2,GuideToPharmacology,INDACATEROL
GSTA1,PharmGKB,VINCRISTINE
CA9,GuideToPharmacology,
AVPR2,TTD,TOLVAPTAN
MTNR1A,GuideToPharmacology,
KDR,ChemblInteractions,MOTESANIB
AQP2,GuideToPharmacology,
HTR3D,TdgClinicalTrial,PUMOSETRAG
ATAD5,DTC,CHEMBL577660
IL2RA,TdgClinicalTrial,
HNF4A,NCI,UREA
SLC6A4,PharmGKB,BUPRENORPHINE
SSTR2,ChemblInteractions,VAPREOTIDE
HRH1,TTD,PHENINDAMINE
GPC3,TTD,
NRIP1,NCI,
UMOD,PharmGKB,CYCLOSPORINE
EGFR,GuideToPharmacology,
SCN5A,TdgClinicalTrial,ETHOTOIN
IL2,TTD,
MCHR1,TTD,
HCRTR1,ChemblInteractions,SB-649868
PTGER4,GuideToPharmacology,
IKBKE,DTC,PD-0166285
,TTD,
ABCC10,PharmGKB,TENOFOVIR
MAPT,DTC,FENRETINIDE
NTRK1,TTD,
DHFR,GuideToPharmacology,
GLP1R,DTC,CHEMBL532412
RBP4,TTD,
,TTD,
GABRD,TEND,DIAZEPAM
HRH3,GuideToPharmacology,N-METHYLHISTAMINE
VIPR2,GuideToPharmacology,
EPHA2,DoCM,DASATINIB
WRN,DTC,CHEMBL585502
KIT,JAX-CKB,
ADRB1,PharmGKB,METOPROLOL
CHRNA9,GuideToPharmacology,
PIK3C2G,MyCancerGenome,APITOLISIB
EGFR,PharmGKB,GEFITINIB
CD6,ChemblInteractions,ONCOLYSIN CD6
HTR1B,GuideToPharmacology,
HDAC10,DTC,APICIDIN
LPL,NCI,INSULIN
NFE2L2,DTC,CHEMBL460273
HRH4,GuideToPharmacology,
EGFR,TTD,
HIF1A,DTC,SP-600125
ATAD5,DTC,DICHLORORIBOBENZIMIDAZOLE
DRD2,GuideToPharmacology,RACLOPRIDE
ATAD5,DTC,CHEMBL1303948
CHRNA10,GuideToPharmacology,STRYCHNINE
HDAC6,TTD,
ADORA2B,TdgClinicalTrial,THEOPHYLLINE
ACE,TdgClinicalTrial,CANDOXATRIL
IL1A,TEND,RILONACEPT
SRC,ChemblInteractions,VANDETANIB
DDIT3,NCI,FENRETINIDE
KDM4E,DTC,OBTUSAQUINONE
NFE2L2,DTC,NALED
PIM3,DTC,SOTRASTAURIN
KAT2A,DTC,CHEMBL180917
CDK1,CancerCommons,
NEK2,DTC,ADAVOSERTIB
CAMK2D,DTC,GEFITINIB
TRPM4,GuideToPharmacology,ADENOSINE DIPHOSPHATE
GRM3,GuideToPharmacology,
GABRA5,GuideToPharmacology,ISOGUVACINE
CDK2,TTD,
IL17A,ChemblInteractions,SECUKINUMAB
BLM,DTC,METHYLENE BLUE
BDNF,NCI,
TUBA1C,ChemblInteractions,VINBLASTINE SULFATE
APEX1,DTC,CARMINE
SCN9A,ChemblInteractions,PHENYTOIN
RET,DTC,VANDETANIB
NFE2L2,DTC,MORNIFLUMATE
EGFR,JAX-CKB,CAPMATINIB
AURKC,GuideToPharmacology,
TUBB8,ChemblInteractions,PACLITAXEL POLIGLUMEX
BAX,NCI,METHOTREXATE
CD22,GuideToPharmacology,
EIF4A1,DTC,SILVESTROL
NOS3,PharmGKB,FLUOROURACIL
ANKK1,PharmGKB,PROCHLORPERAZINE
KDR,ChemblInteractions,RIVOCERANIB
GUCY1B2,ChemblInteractions,ISOSORBIDE DINITRATE
STK36,DTC,SB-202190
GFAP,NCI,ISOPROTERENOL
DRD2,ChemblInteractions,ASENAPINE MALEATE
,TTD,ECONAZOLE
HTR1B,TdgClinicalTrial,
TESK2,GuideToPharmacology,
HTR2C,GuideToPharmacology,METERGOLINE
USP1,DTC,CHEMBL72365
APOA1,NCI,
HSD17B10,DTC,PYRROLIDINE DITHIOCARBAMATE
CYSLTR1,GuideToPharmacology,MONTELUKAST
GJC3,GuideToPharmacology,CARBENOXOLONE
KDM4C,TTD,
S100A12,TTD,ATOGEPANT
EDNRA,TdgClinicalTrial,SITAXENTAN
FFAR2,GuideToPharmacology,GLPG-0974
EIF2B1,NCI,WORTMANNIN
HTR2A,GuideToPharmacology,CLOZAPINE
NFE2L2,DTC,RHEIN
FEN1,DTC,TYRPHOSTIN 23
IGF1,TTD,XENTUZUMAB
NFKB2,TTD,
SIGMAR1,GuideToPharmacology,FLUVOXAMINE
FLT1,ClearityFoundationClinicalTrial,VANDETANIB
ESR1,TTD,
FLT4,MyCancerGenomeClinicalTrial,
,TTD,TRETINOIN
AR,DTC,QUININE SULFATE
RET,TTD,ROMIPLOSTIM
EGFR,GuideToPharmacology,ALLITINIB
KCNJ1,GuideToPharmacology,
MAP2K2,ChemblInteractions,REFAMETINIB
EGFR,ChemblInteractions,AZD-4769
TUBB,TTD,
TNFRSF8,NCI,
PTGS2,TdgClinicalTrial,IBUPROFEN
NPC1,DTC,CHEMBL328710
LOH19CR1,NCI,PREDNISOLONE
EHMT2,DTC,MEDRONIC ACID
GABRA3,ChemblInteractions,METHOXYFLURANE
HTT,TTD,
HTR2C,PharmGKB,AMISULPRIDE
PTPRC,TTD,
,TTD,
TOP1,DTC,CHEMBL455004
GRM5,TTD,DIPRAGLURANT
ACE,PharmGKB,AMLODIPINE
DRD3,GuideToPharmacology,HALOPERIDOL
GRM2,TTD,
HDAC8,TTD,
BRAF,JAX-CKB,PEXIDARTINIB
NFE2L2,DTC,PROPYLPARABEN
DRD4,GuideToPharmacology,
KCNK9,ChemblInteractions,DESFLURANE
PIK3R6,MyCancerGenomeClinicalTrial,GEDATOLISIB
DRD3,GuideToPharmacology,ETICLOPRIDE
NR3C2,TTD,
IL2RB,TTD,
SOST,ChemblInteractions,BLOSOZUMAB
CYP3A4,DTC,SB-202190
,TTD,LORNOXICAM
CYP2B6,PharmGKB,ARTEMISININ
BAZ2B,DTC,CHEMBL590927
AR,TEND,NILUTAMIDE
SLC6A2,TEND,MAPROTILINE
LIPE,GuideToPharmacology,
TAC1,NCI,PUROMYCIN
PDE3A,TTD,K-134
SMAD3,DTC,CHEMBL1503729
HKDC1,DTC,CHEMBL592124
PIK3CA,JAX-CKB,OLAPARIB
EGFR,GuideToPharmacology,
,TTD,
NR1D1,DTC,SR9011
CYP2D6,GuideToPharmacology,
GABRA5,TdgClinicalTrial,GANAXOLONE
GLP1R,DTC,CHEMBL589245
EHMT2,DTC,CHEMBL591628
ERCC1,CIViC,PACLITAXEL
DCTD,PharmGKB,GEMCITABINE
GMNN,DTC,OUABAIN
TUBA1A,ChemblInteractions,PACLITAXEL POLIGLUMEX
PLA2G4A,TEND,FLUOROMETHOLONE
SMAD3,DTC,CHEMBL1342336
MPHOSPH8,DTC,NORDIHYDROGUAIARETIC ACID
CKM,NCI,VOLANESORSEN SODIUM
CBX1,DTC,MITOXANTRONE HYDROCHLORIDE
JAK2,JAX-CKB,
NTRK2,GuideToPharmacology,
SSTR4,GuideToPharmacology,
DRD3,ChemblInteractions,HALOPERIDOL DECANOATE
FAAH,TTD,
DRD2,TTD,FLUSPIRILENE
BAX,NCI,
HCAR1,GuideToPharmacology,
ESR1,GuideToPharmacology,STANOZOLOL
MS4A1,TTD,
GBA,DTC,CHEMBL528181
SSTR1,GuideToPharmacology,
FAAH,TTD,PROPOFOL
ABCC1,GuideToPharmacology,
HDAC7,ChemblInteractions,TACEDINALINE
CHRM3,GuideToPharmacology,
GABRB3,ChemblInteractions,CLORAZEPATE DIPOTASSIUM
,TALC,ORANTINIB
CHRM1,TEND,LEVOMEPROMAZINE
TEK,ChemblInteractions,CE-245677
GABRA5,TdgClinicalTrial,BUTETHAL
GRIA2,GuideToPharmacology,CYCLOTHIAZIDE
SLC6A3,GuideToPharmacology,TRIMIPRAMINE
PTGIR,TTD,MISOPROSTOL
NPM1,JAX-CKB,CRIZOTINIB
RET,TTD,
SMO,GuideToPharmacology,VISMODEGIB
GRM2,GuideToPharmacology,
AR,DTC,RALOXIFENE HYDROCHLORIDE
DRD2,TEND,ROPINIROLE
TP73,NCI,
SLCO2B1,PharmGKB,ROSUVASTATIN
HRAS,JAX-CKB,
PLAUR,NCI,
BDKRB1,ChemblInteractions,BI113823
ADRA1B,GuideToPharmacology,PHENYLEPHRINE
FOLH1,NCI,
VDR,DTC,AGROCLAVINE
KCNN2,GuideToPharmacology,
POLK,DTC,CARMINE
STAT3,DTC,CHEMBL578504
IDH1,DTC,CHEMBL523200
CYP1A2,PharmGKB,CARBAMAZEPINE
ACHE,TTD,RIVASTIGMINE
APH1B,DTC,CHEMBL392068
HTR1A,GuideToPharmacology,
FLT4,ChemblInteractions,CEP-5214
ASXL1,JAX-CKB,
KDM4A,DTC,ERGOCRYPTINE
,TTD,GLUCARPIDASE
AR,TTD,APALUTAMIDE
MUC1,NCI,
HTR2A,ChemblInteractions,CHLORPROMAZINE
PDE4A,TdgClinicalTrial,ENPROFYLLINE
PDE4D,ChemblInteractions,DIPYRIDAMOLE
AR,DTC,CRUFOMATE
KCNH2,DTC,CHEMBL590919
NPSR1,GuideToPharmacology,
FRK,DTC,R-406
TP53,DTC,CHEMBL406557
AKR1B1,TTD,
IL4,TTD,TEPOXALIN
CYP3A5,PharmGKB,HALOPERIDOL
POLB,TdgClinicalTrial,
ATXN2,DTC,CHEMBL581152
GRPR,GuideToPharmacology,
ME3,NCI,ANDROSTANOLONE
GSK3A,TTD,
HTR6,GuideToPharmacology,CAPESEROD
PTGIS,TEND,PHENYLBUTAZONE
IL12B,TdgClinicalTrial,BRIAKINUMAB
P2RY12,GuideToPharmacology,REGRELOR
IL2RA,NCI,
SLC1A1,NCI,CLOZAPINE
CCR2,GuideToPharmacology,
GABRA1,ChemblInteractions,THIAMYLAL SODIUM
OPRM1,GuideToPharmacology,
GRIN2D,GuideToPharmacology,
EGFR,GuideToPharmacology,PELITINIB
RARA,GuideToPharmacology,
NFE2L2,DTC,CHEMBL590184
TUBA1A,ChemblInteractions,VERUBULIN
PDGFRB,TEND,SORAFENIB
IL2RA,NCI,
PTGER1,GuideToPharmacology,
PIK3CA,DTC,CHEMBL1939433
PNP,ChemblInteractions,FORODESINE HYDROCHLORIDE
VHL,JAX-CKB,
IGF1R,TdgClinicalTrial,LINSITINIB
L3MBTL3,GuideToPharmacology,
HSP90AA1,DTC,CHEMBL590927
CHRM4,GuideToPharmacology,UMECLIDINIUM
PTPRC,DTC,HYDROGEN PEROXIDE
CD40LG,TTD,
CYP2C9,DTC,PSORALEN
GABRA6,TEND,TEMAZEPAM
TUBA3E,DTC,VINORELBINE
TYR,TTD,
CDK18,GuideToPharmacology,
CHRNA4,TTD,
IDO1,TTD,
ACHE,TEND,RIVASTIGMINE
ANO1,GuideToPharmacology,
GABRR3,TEND,HALAZEPAM
ROS1,CIViC,ENTRECTINIB
PTEN,CIViC,PANITUMUMAB
PTGS2,TEND,PHENYLBUTAZONE
APEX1,DTC,DOPAMINE HYDROCHLORIDE
ALK,GuideToPharmacology,
HTR1A,GuideToPharmacology,MESORIDAZINE
PLAU,NCI,RETINOL
SMAD3,DTC,BISINDOLYLMALEIMIDE IX
NFE2L2,DTC,TRIBUTYLTIN-OXIDE
TRPM2,GuideToPharmacology,
GABRP,ChemblInteractions,
OPRD1,TEND,CODEINE
SLC12A3,ChemblInteractions,HYDROCHLOROTHIAZIDE
RXRA,DTC,2-PHENYLPHENOL
CALCR,GuideToPharmacology,
CCKBR,GuideToPharmacology,
GABRA5,TEND,PRIMIDONE
TSHR,DTC,BERGAMOTTIN
IL13RA2,TTD,TRALOKINUMAB
TFPI,NCI,MUPARFOSTAT
GABRD,TdgClinicalTrial,CLORAZEPIC ACID
MT-ND1,TEND,SEVOFLURANE
TSHB,NCI,AZATHIOPRINE
HSD17B10,DTC,PRAZOSIN HYDROCHLORIDE
KCNB2,ChemblInteractions,DALFAMPRIDINE
ERBB2,FDA,TALAZOPARIB
SERPINE1,NCI,
HRH1,DTC,BIPERIDEN
FYN,ChemblInteractions,TG100-801
VIP,NCI,RIBAVIRIN
GABRG1,TEND,ADINAZOLAM
PPP3CA,TTD,CYCLOSPORINE
CYP2B6,PharmGKB,
TUBA4A,DTC,MAYTANSINOL
GLP1R,DTC,PYRONIN Y
SCN1A,TEND,ZONISAMIDE
CHRNA4,TEND,BUTABARBITAL
NPSR1,TTD,
CSF1R,ChemblInteractions,SUNITINIB MALATE
SLC1A1,GuideToPharmacology,
KCNQ2,GuideToPharmacology,
ASIC1,TdgClinicalTrial,
ATRX,JAX-CKB,GEMCITABINE
,TTD,VAPENDAVIR
KCNJ5,TdgClinicalTrial,FLUPIRTINE
GRIN1,DTC,DIZOCILPINE
PAK1,DTC,TOZASERTIB
CCR2,GuideToPharmacology,
PPARD,DTC,CHEMBL1606
CYP2C9,DTC,CHEMBL34730
GFAP,NCI,
GATM,PharmGKB,
TNF,NCI,
EDNRA,TdgClinicalTrial,IRL-1620
MTHFR,PharmGKB,SULFASALAZINE
HTR6,GuideToPharmacology,
FEN1,DTC,CHEMBL257991
KDM4E,DTC,DEFERIPRONE
DRD1,DTC,CGS-21680
MINK1,DTC,CHEMBL541400
SCN10A,ChemblInteractions,ARTICAINE HYDROCHLORIDE
FLT1,GuideToPharmacology,DOVITINIB
MPL,ChemblInteractions,ROMIPLOSTIM
MTOR,DTC,CHEMBL587620
KDR,ChemblInteractions,HENATINIB
AVPR1A,TTD,TERLIPRESSIN
POLH,DTC,IDARUBICIN
TUBA3D,DTC,ZAMPANOLIDE
MAPT,DTC,RALOXIFENE
NFE2L2,DTC,CLOROPHENE
ATIC,NCI,
POLB,DTC,DIOSMIN
CHRNA10,GuideToPharmacology,
BIRC2,TTD,
ATAD5,DTC,CHEMBL373937
KDM4A,DTC,CHEMBL1412489
PRKCG,GuideToPharmacology,RUBOXISTAURIN
MAP4K5,DTC,CHEMBL375293
GABRR2,TdgClinicalTrial,HALAZEPAM
CNR2,TTD,
MAP4K4,DTC,CYC-116
DDR2,CIViC,ERLOTINIB
TGM2,NCI,SIROLIMUS
IDH1,DTC,CHEMBL388979
GABRG1,TdgClinicalTrial,FLURAZEPAM
GHR,TTD,
HMGCR,TTD,CRILVASTATIN
HTT,DTC,CHEMBL533293
PIK3C2B,MyCancerGenome,ALPELISIB
GHRHR,TdgClinicalTrial,
CSNK1D,DTC,SB-203580
PIK3C3,MyCancerGenome,GEDATOLISIB
CYP2D6,DTC,DOXORUBICIN
AKT3,MyCancerGenomeClinicalTrial,OMIPALISIB
HCK,NCI,
RGS4,DTC,CHEMBL285932
FLT1,ChemblInteractions,DOVITINIB
ALOX12,DTC,MERCURIC CHLORIDE
DNMT1,DTC,DEMETHOXYCURCUMIN
,TTD,METHADONE
GRIA2,ChemblInteractions,PERAMPANEL
VIPR2,TdgClinicalTrial,
HDAC4,DTC,APICIDIN
HDAC1,TTD,
TRPC3,GuideToPharmacology,NORGESTIMATE
EZH2,TTD,
ABCB1,NCI,
PDE2A,TTD,
MS4A1,TTD,OBINUTUZUMAB
CYP2D6,DTC,CAPSAZEPINE
SLC6A3,NCI,ACETYLCYSTEINE
TOP2A,ChemblInteractions,AMRUBICIN
PIK3CB,GuideToPharmacology,CHEMBL1086377
HTR1A,ChemblInteractions,BUSPIRONE HYDROCHLORIDE
KDR,ChemblInteractions,FAMITINIB
SCN9A,GuideToPharmacology,TETRODOTOXIN
KIT,OncoKB,SORAFENIB
GIPR,TTD,
PDE1B,TTD,
CYP2C19,DTC,RIMCAZOLE
ADCY9,DTC,CHEMBL401844
,TTD,DESONIDE
HSD17B10,DTC,METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE
CYP3A4,DTC,IPRATROPIUM
MAPT,DTC,CHEMBL602969
ADRB2,GuideToPharmacology,SOLABEGRON
USP9Y,NCI,TESTOSTERONE
MAOB,TdgClinicalTrial,PHENELZINE
PIK3CA,TTD,PA-799
HPGD,DTC,LY-255283
GNAS,DTC,GARCINONE E
EHMT2,DTC,TELMISARTAN
CHRM5,TTD,PROPIVERINE
UGT1A4,NCI,NICOTINE
APEX1,DTC,BENZOQUINONE
AR,DTC,CHEMBL84472
FRK,TALC,NINTEDANIB
YEATS4,PharmGKB,HYDROCHLOROTHIAZIDE
HSD11B1,GuideToPharmacology,BMS-823778
TP53,DTC,CHEMBL602922
XDH,TTD,
RIPK2,GuideToPharmacology,
IL6,PharmGKB,
ADRB1,GuideToPharmacology,DENOPAMINE
P2RY6,GuideToPharmacology,
BCAT2,GuideToPharmacology,
CSF2,NCI,
PTGIR,TTD,LAROPIPRANT
RAB9A,DTC,CHEMBL1333049
HDAC4,GuideToPharmacology,
RIPK1,GuideToPharmacology,
EGFR,DTC,CHEMBL1077773
GLA,DTC,PINDOLOL
CNR1,TTD,
EGFR,PharmGKB,AFATINIB
KCNA1,NCI,BUPIVACAINE
GABRA1,TdgClinicalTrial,REMIMAZOLAM
PRKD3,DTC,CENISERTIB
FGFR1,TTD,
GSK3B,TTD,
,TTD,
ALOX12,PharmGKB,CELECOXIB
INSR,ChemblInteractions,INSULIN ZINC SUSP RECOMBINANT HUMAN
PSMD2,ChemblInteractions,IXAZOMIB CITRATE
IL6R,ChemblInteractions,TOCILIZUMAB
SLC2A4,NCI,
HEBP1,TTD,
P2RY6,GuideToPharmacology,
,TTD,
IDO1,DTC,PHENYLHYDRAZINE
KDR,DTC,DORAMAPIMOD
SMO,TTD,
ADRA1B,ChemblInteractions,EPINEPHRINE
MMP8,TTD,
CAMKK2,DTC,PF-00562271
EGFR,GuideToPharmacology,TESEVATINIB
CSF1R,GuideToPharmacology,CHEMBL1908396
TRPC3,GuideToPharmacology,
ADORA2A,TTD,TONAPOFYLLINE
VDR,DTC,ISOTRETINOIN
FGFR2,TdgClinicalTrial,
GABRA3,ChemblInteractions,ACAMPROSATE CALCIUM
ADRA1A,TEND,PHENYLPROPANOLAMINE
RPS6KA3,GuideToPharmacology,
SCN3A,ChemblInteractions,DRONEDARONE HYDROCHLORIDE
NR3C1,ChemblInteractions,METHYLPREDNISOLONE ACETATE
FPR2,GuideToPharmacology,
DHFR,ChemblInteractions,PRALATREXATE
ABL1,GuideToPharmacology,
EGFR,MyCancerGenomeClinicalTrial,POZIOTINIB
RAC1,CIViC,VEMURAFENIB
MSLN,TTD,
BRCA1,DTC,ACRIFLAVINE
,TTD,
TSC2,CIViC,EVEROLIMUS
SENP1,DTC,CHEMBL1346025
ALDH1A1,DTC,CHEMBL590949
KCNA10,GuideToPharmacology,VERAPAMIL
MAPT,DTC,RHEIN
AKT3,GuideToPharmacology,UPROSERTIB
SLC2A1,GuideToPharmacology,
ABCB1,PharmGKB,AGOMELATINE
F2,TTD,ANISINDIONE
,TTD,
NR1H3,TTD,
CYP19A1,TdgClinicalTrial,LETROZOLE
AVPR1A,ChemblInteractions,SRX251
AR,DTC,AZACITIDINE
PPARD,DTC,GW7647
CYP2D6,DTC,BERGAPTEN
HIF1A,DTC,LEVONORDEFRIN
CHRM3,TTD,ACLIDINIUM BROMIDE
GABRD,TTD,BREXANOLONE
ROS1,DTC,HESPERADIN
TOP1,DTC,CHEMBL2171812
B4GALNT1,MyCancerGenome,DINUTUXIMAB
USP1,DTC,CETRIMIDE
RET,PharmGKB,CABOZANTINIB
TRPV1,TTD,
,TTD,CHEMBL253995
MAPT,TTD,GOSURANEMAB
DNASE1L3,TTD,
ACE,PharmGKB,CHLORTHALIDONE
ADRA2A,TdgClinicalTrial,LOFEXIDINE
HKDC1,DTC,OXOPURPUREINE
MELK,DTC,TAE-684
PYGL,PharmGKB,DEXAMETHASONE
TNF,TTD,
CDK9,ChemblInteractions,SELICICLIB
SCN5A,TdgClinicalTrial,SAFINAMIDE
SMN1,DTC,CHEMBL581910
FEN1,DTC,CHEMBL234338
CHRNG,ChemblInteractions,ROCURONIUM BROMIDE
MBNL1,DTC,MITOXANTRONE
TPSAB1,GuideToPharmacology,CHEMBL256892
CYP3A4,DTC,CHEMBL1256182
MS4A1,FDA,RITUXIMAB
CDK2,NCI,
PTGER3,ChemblInteractions,DINOPROSTONE
PRL,NCI,MANNITOL
,TTD,
TSPO,TTD,
GABRA3,TEND,HALAZEPAM
TNF,TTD,REMTOLUMAB
ITGA4,TTD,
PTGER1,GuideToPharmacology,ILOPROST
ALK,TALC,ENSARTINIB
NR1I2,PharmGKB,PROGESTERONE
MAPK9,NCI,CAMPTOTHECIN
HLA-A,PharmGKB,ZONISAMIDE
DCK,PharmGKB,IDARUBICIN
DPYD,FDA,CAPECITABINE
IL5,TTD,MEPOLIZUMAB
NFE2L2,DTC,CHRYSENE
CBX1,DTC,ATHRAQUINONES A
CYP2C19,DTC,MYRICETIN
ATG5,PharmGKB,ADALIMUMAB
OPRD1,TTD,
IGF1R,TALC,GANITUMAB
RTN4,NCI,
GALR1,GuideToPharmacology,
HEBP1,TTD,
,TTD,LUVOX
SLC6A3,TdgClinicalTrial,BENZTROPINE
BCL2,NCI,
PDE3A,TTD,
BRAF,JAX-CKB,
ABCC8,TTD,GLYBURIDE
,TTD,NCX-4016
AADAT,TTD,
DRD2,TTD,CARIPRAZINE
,TTD,FAMCICLOVIR
BCL2,TTD,
KMT2A,DTC,DIFLUFENICAN
SLC2A4,NCI,
SMN2,DTC,6-AZAURIDINE
PRMT3,GuideToPharmacology,
TSHR,TdgClinicalTrial,
MAGEA1,NCI,
EGFR,PharmGKB,NERATINIB
CD74,TdgClinicalTrial,MILATUZUMAB
PPARG,DTC,SHINPTEROCARPIN
HIF1A,DTC,CHEMBL1528359
CD3D,TdgClinicalTrial,FORALUMAB
GABRG2,ChemblInteractions,ZALEPLON
JAK1,CIViC,PEMBROLIZUMAB
TNFRSF17,TTD,
EHMT2,DTC,CHEMBL583150
CCL17,NCI,DEXAMETHASONE
CBX1,DTC,METITEPINE
ICAM1,TdgClinicalTrial,
TGFBR3,NCI,
CYP2C19,DTC,CARMUSTINE
YES1,DTC,GW831090X
HGF,NCI,IMATINIB MESYLATE
ADRA2A,TdgClinicalTrial,DEXMEDETOMIDINE
KIT,MyCancerGenomeClinicalTrial,
RAB9A,DTC,CHEMBL259805
PLK3,DTC,TAE-684
HSD17B10,DTC,CHEMBL1161520
CYP3A4,DTC,BUTORPHANOL
,TTD,TRICAPRILIN
ADORA2A,TTD,GW-328267
EGFR,ClearityFoundationClinicalTrial,LAPATINIB
HIF1A,TdgClinicalTrial,NOSCAPINE
MCHR1,TTD,
CSF3R,TTD,FILGRASTIM
PDE4B,ChemblInteractions,CRISABOROLE
TSHR,DTC,DECANOIC ACID
KCNH2,DTC,DEXPROPRANOLOL HYDROCHLORIDE
GNAS,DTC,CHEMBL2002487
,TTD,
CACNA1C,ChemblInteractions,AMLODIPINE BESYLATE
HTR2B,GuideToPharmacology,
PIK3CA,GuideToPharmacology,ACALISIB
MCHR1,GuideToPharmacology,CHEMBL214957
BAZ2B,DTC,METHYLTHIONINIUM CHLORIDE
CYP2C19,DTC,GENISTEIN
KDM4A,DTC,CHEMBL502057
GSTP1,CIViC,
PRKCD,DTC,CHEMBL27768
INS,TTD,
LCK,ChemblInteractions,PAZOPANIB HYDROCHLORIDE
KDR,GuideToPharmacology,
MS4A1,TTD,OFATUMUMAB
IDH1,CIViC,VENETOCLAX
GABRR3,TEND,CLONAZEPAM
UGT1A1,CIViC,BELINOSTAT
CAMK2B,NCI,TRIFLUOPERAZINE
AR,DTC,DICHLOROPHEN
MMP2,NCI,
IDO1,GuideToPharmacology,
PTH1R,TdgClinicalTrial,TERIPARATIDE
GALK1,DTC,CHEMBL578512
CYP2C19,DTC,GLAFENINE
FGFR3,GuideToPharmacology,
EHMT2,DTC,CHEMBL403741
SELP,TdgClinicalTrial,TORAPSEL
AMHR2,PharmGKB,METFORMIN
NTRK2,GuideToPharmacology,CEP-11981
TTK,GuideToPharmacology,
KCNA5,GuideToPharmacology,FLECAINIDE
FNTB,PharmGKB,LONAFARNIB
CYP3A4,DTC,CHEMBL111545
ERCC1,PharmGKB,GEMCITABINE
HRH1,GuideToPharmacology,KETOTIFEN
TNFSF13B,TTD,BELIMUMAB
TNFRSF17,TTD,
P2RX7,TTD,
PIM1,ChemblInteractions,LGH-447
SIGMAR1,TTD,
WRN,DTC,CHEMBL592316
NFKB2,TTD,
UGT2B7,PharmGKB,METHADONE
MAP2K1,TTD,
KRAS,JAX-CKB,GEFITINIB
RORC,DTC,ANDROSTENEDIONE
CYP2C9,DTC,MODAFINIL
MTOR,DTC,PERPHENAZINE
UGT1A6,PharmGKB,DAUNORUBICIN
KLK3,ChemblInteractions,ECALLANTIDE
TSPO,TEND,ZOPICLONE
ERBB2,ChemblInteractions,OSIMERTINIB MESYLATE
CHRNB2,ChemblInteractions,NICOTINE
LCK,GuideToPharmacology,
PIK3CB,MyCancerGenomeClinicalTrial,ALPELISIB
ADRA2B,GuideToPharmacology,TERGURIDE
TOP2A,DTC,CHEMBL1773343
NTRK2,PharmGKB,LITHIUM
ALB,TTD,GADOFOSVESET
UGT1A4,PharmGKB,ABT-751
KCNJ1,TTD,
GABRA2,ChemblInteractions,FLUMAZENIL
EGFR,MyCancerGenome,DACOMITINIB
HRH1,ChemblInteractions,HYDROXYZINE HYDROCHLORIDE
BDNF,NCI,VINCRISTINE
PTGER4,GuideToPharmacology,
ADRA1A,GuideToPharmacology,
THRB,DTC,LEVOTHYROXINE
CA6,TTD,SULFAMYLON
HSD17B10,DTC,ACRISORCIN
RPS6KB1,DTC,CHEMBL259850
BLK,GuideToPharmacology,
GJB3,GuideToPharmacology,OCTANOL
CDK4,TTD,
EHMT2,DTC,CLIOQUINOL
MTHFR,NCI,ALCOHOL
CYP3A4,DTC,"5,7-DIMETHOXYISOFLAVONE"
KRAS,JAX-CKB,CGM-097
TAAR1,DTC,CHEMBL1224310
L3MBTL1,DTC,2-PICOLINIC ACID
PHKG2,DTC,SP-600125
RBP4,TTD,
,TTD,TIOCONAZOLE
KRAS,JAX-CKB,
ALOX12,DTC,CHEMBL68534
MAPT,DTC,PYRANTEL PAMOATE
OPRM1,ChemblInteractions,SAMIDORPHAN
MCL1,TTD,
CDK2,GuideToPharmacology,CT-7001
HLA-A,PharmGKB,TERBINAFINE
,TTD,
PPARD,DTC,HYDRAMETHYLNON
FPR2,GuideToPharmacology,
SSRP1,TTD,
GABRA4,TEND,TEMAZEPAM
